Date,Price,Open,High,Low,Vol.,Change %,Symbol,Nltk_Sentiment,FinBERT_Sentiment,Subjectivity_avg,Polarity_avg,PriceSP500,OpenSP500,HighSP500,LowSP500,Change%SP500
2024-04-25,7850.0,7350.0,7850.0,7350.0,2.70K,0.00%,FUEIP100,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-25,14640.0,15580.0,15580.0,14470.0,5.50K,0.27%,FUEMAV30,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-25,15190.0,15100.0,15190.0,14900.0,14.10K,0.60%,FUESSV30,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-25,18700.0,18310.0,18790.0,17690.0,17.40K,2.13%,FUESSV50,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-25,19890.0,20500.0,21790.0,19890.0,35.80K,-2.36%,FUESSVFL,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-25,16410.0,16380.0,17000.0,16300.0,39.50K,0.37%,FUEVN100,-0.0258,-0.9995,0.4517,0.1067,128436.85321999999,127710.76707999999,128674.21775,126965.34577999999,-0.46%
2024-04-24,21270.0,20750.0,21300.0,20750.0,125.00K,2.51%,E1VFVN30,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,29700.0,29050.0,30950.0,29050.0,5.01M,2.24%,ETF,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,7850.0,7350.0,7850.0,7350.0,0.70K,4.67%,FUEIP100,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,14600.0,14420.0,14600.0,14420.0,30.80K,2.60%,FUEMAV30,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,15100.0,14850.0,15130.0,14850.0,16.00K,2.37%,FUESSV30,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,18310.0,18080.0,18310.0,18060.0,5.00K,2.69%,FUESSV50,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,20370.0,19300.0,20980.0,19300.0,110.30K,3.88%,FUESSVFL,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-24,16350.0,16160.0,16960.0,16150.0,53.20K,1.24%,FUEVN100,0.0,0.9999,0.3333,0.25,129027.33883,129363.92325999998,129481.46067999999,128401.23582,0.02%
2024-04-23,20750.0,20940.0,20940.0,20520.0,701.80K,-0.86%,E1VFVN30,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,29050.0,29400.0,29400.0,28880.0,1.53M,0.14%,ETF,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,7500.0,7370.0,7850.0,7370.0,0.40K,1.76%,FUEIP100,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,14230.0,14330.0,14330.0,14020.0,16.80K,-0.70%,FUEMAV30,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,14750.0,14850.0,14880.0,14660.0,38.00K,-0.74%,FUESSV30,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,17830.0,19150.0,19150.0,17830.0,49.90K,-6.99%,FUESSV50,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,19610.0,19800.0,19900.0,19500.0,309.70K,-0.96%,FUESSVFL,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-23,16150.0,16700.0,17220.0,15900.0,123.10K,0.31%,FUEVN100,0.6808,0.999,0.2,-0.05,128999.86255,127938.97285,129141.56891999999,127916.33035999999,1.20%
2024-04-22,20930.0,20670.0,20930.0,20670.0,638.20K,1.26%,E1VFVN30,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,29010.0,29000.0,29490.0,28900.0,2.05M,0.73%,ETF,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,7370.0,7490.0,7490.0,7370.0,0.50K,5.29%,FUEIP100,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,14330.0,15100.0,15100.0,14150.0,4.60K,1.49%,FUEMAV30,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,14860.0,15250.0,15250.0,14780.0,27.10K,-0.27%,FUESSV30,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,19170.0,19000.0,19170.0,17950.0,16.50K,6.26%,FUESSV50,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,19800.0,18500.0,20750.0,18500.0,536.90K,2.06%,FUESSVFL,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-22,16100.0,16000.0,17060.0,16000.0,232.20K,0.94%,FUEVN100,0.6124,1.0,0.4292,0.1958,127474.6746,126882.66252999999,128193.12844,126426.50539999998,0.87%
2024-04-19,20670.0,21750.0,21750.0,20520.0,656.80K,-1.85%,E1VFVN30,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,28800.0,29550.0,29550.0,28550.0,1.66M,-1.30%,ETF,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,7000.0,7300.0,7300.0,7000.0,1.10K,-4.11%,FUEIP100,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,14120.0,14400.0,14400.0,14030.0,16.70K,-2.22%,FUEMAV30,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,14900.0,15800.0,15800.0,14670.0,106.80K,-0.33%,FUESSV30,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,18040.0,19500.0,19500.0,17940.0,9.00K,-2.80%,FUESSV50,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,19400.0,19600.0,20500.0,19110.0,641.90K,-1.02%,FUESSVFL,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-19,15950.0,16250.0,16260.0,15920.0,409.20K,-1.91%,FUEVN100,0.0,0.0,0.3611,0.0833,126371.29842999998,127343.39903999999,127688.88782,126023.51996,-0.88%
2024-04-17,21060.0,21720.0,21720.0,20930.0,1.47M,-0.61%,E1VFVN30,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-17,29180.0,30400.0,30400.0,29000.0,9.14M,-1.32%,ETF,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-17,7300.0,7320.0,7320.0,7300.0,0.80K,-6.65%,FUEIP100,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-17,14440.0,14610.0,14660.0,14440.0,5.10K,-1.50%,FUEMAV30,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-17,14950.0,16000.0,16000.0,14900.0,15.40K,-2.22%,FUESSV30,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-17,18560.0,19000.0,19020.0,18560.0,4.40K,-2.67%,FUESSV50,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
2024-04-17,19600.0,20200.0,20200.0,19600.0,143.20K,-1.06%,FUESSVFL,0.8607,1.0,0.5305,0.2322,127770.04461,128959.66577,129188.38036,127389.44725,-0.58%
