"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2024","15,560.0","15,800.0","15,800.0","15,340.0","16.70K","0.06%"
"03/14/2024","15,550.0","15,700.0","15,700.0","15,470.0","28.30K","-0.32%"
"03/13/2024","15,600.0","15,370.0","15,600.0","15,340.0","8.40K","1.50%"
"03/12/2024","15,370.0","15,200.0","15,370.0","15,200.0","16.60K","1.12%"
"03/11/2024","15,200.0","15,450.0","15,450.0","15,200.0","53.30K","-1.62%"
"03/08/2024","15,450.0","15,950.0","15,950.0","15,450.0","26.70K","-1.02%"
"03/07/2024","15,610.0","15,570.0","15,710.0","15,570.0","21.20K","-0.45%"
"03/06/2024","15,680.0","15,580.0","15,760.0","15,580.0","5.90K","0.64%"
"03/05/2024","15,580.0","15,570.0","15,700.0","15,570.0","8.80K","0.06%"
"03/04/2024","15,570.0","15,600.0","15,660.0","15,560.0","17.70K","-0.19%"
"03/01/2024","15,600.0","15,750.0","15,750.0","15,540.0","24.10K","0.26%"
"02/29/2024","15,560.0","15,560.0","15,650.0","15,550.0","36.40K","0.06%"
"02/28/2024","15,550.0","15,080.0","15,550.0","15,080.0","23.60K","3.19%"
"02/27/2024","15,070.0","15,200.0","15,290.0","15,070.0","57.20K","0.00%"
"02/26/2024","15,070.0","15,010.0","15,130.0","15,010.0","19.60K","-0.72%"
"02/23/2024","15,180.0","15,300.0","15,470.0","15,000.0","44.60K","-0.78%"
"02/22/2024","15,300.0","15,400.0","15,400.0","14,850.0","8.80K","0.00%"
"02/21/2024","15,300.0","15,400.0","15,400.0","15,180.0","37.60K","0.33%"
"02/20/2024","15,250.0","15,400.0","15,400.0","15,250.0","6.60K","0.00%"
"02/19/2024","15,250.0","15,100.0","15,300.0","15,100.0","33.60K","1.33%"
"02/16/2024","15,050.0","15,000.0","15,100.0","14,990.0","30.40K","0.40%"
"02/15/2024","14,990.0","15,000.0","15,170.0","14,990.0","56.70K","-0.07%"
"02/07/2024","15,000.0","15,090.0","15,090.0","14,800.0","10.40K","1.56%"
"02/06/2024","14,770.0","14,770.0","14,890.0","14,770.0","36.60K","1.16%"
"02/05/2024","14,600.0","14,510.0","14,890.0","14,500.0","34.20K","0.69%"
"02/02/2024","14,500.0","14,620.0","14,620.0","14,490.0","42.50K","0.69%"
"02/01/2024","14,400.0","14,730.0","14,730.0","14,340.0","5.80K","0.00%"
"01/31/2024","14,400.0","14,570.0","14,630.0","14,360.0","41.40K","-1.17%"
"01/30/2024","14,570.0","14,680.0","14,680.0","14,530.0","21.70K","0.28%"
"01/29/2024","14,530.0","14,310.0","14,630.0","14,290.0","21.20K","1.68%"
"01/26/2024","14,290.0","14,400.0","14,630.0","14,290.0","19.90K","-0.76%"
"01/25/2024","14,400.0","14,500.0","14,590.0","14,400.0","3.10K","-0.76%"
